Item Name,Qty,Price (total),Item link
Arduino Mega 2560 Microcontroller Board ATmega2560,1,$18.84 ,https://www.amazon.eg/-/en/dp/B0H9P54WB4?ref_=ppx_printOD_title_dt_b_fed_asin_title_0_0
12 Pack MDF Wood Board 12x19x1/8 Inch 3mm Thick,1,$8.93 ,https://www.amazon.eg/-/en/dp/B0BXL9GT7X?ref_=ppx_printOD_title_dt_b_fed_asin_title_0_0
White Cork Boards - Thermal Insulation (W50cm L50cm H2cm) 4 Panel,1,$4.83 ,https://www.amazon.eg/-/en/dp/B0BXL9GT7X?ref_=ppx_printOD_title_dt_b_fed_asin_title_0_0
Magnifier PCB Soldering Iron Stand Holder Table Magnifying Glass,1,$6.76 ,https://www.amazon.eg/-/en/dp/B096992XJX?ref_=ppx_printOD_title_dt_b_fed_asin_title_0_0
"Car Truck Motorcycle Smart Compact Battery Charger (12V, Black)",1,$8.70 ,https://www.amazon.eg/-/en/dp/B093WSQZ9P?ref_=ppx_printOD_title_dt_b_fed_asin_title_0_0
Nylon PCB Standoff Spacer Insulating Pillars 8mm x 3mm M3 (10 Pcs),1,$1.15 ,https://www.amazon.eg/-/en/dp/B0FHFXK3RT?ref_=ppx_printOD_title_dt_b_fed_asin_title_0_0
64 Wire 0.9mm Pitch Multicolor Flat Ribbon Cable 1 Meter,1,$2.97 ,https://www.amazon.eg/-/en/dp/B0GXW2SRF2?ref_=ppx_printOD_title_dt_b_fed_asin_title_0_1
"APT Crimping Plier 10.5"" (DW2100204)",1,$3.20 ,https://www.amazon.eg/-/en/dp/B0CVJ5BYRB?ref_=ppx_printOD_title_dt_b_fed_asin_title_0_0
"Portal On/Off Switch (Red, 16A-20A)",1,$0.66 ,https://www.amazon.eg/-/en/dp/B091D9FG94?ref_=ppx_printOD_title_dt_b_fed_asin_title_1_0
"Speaker Cable 1.5mm, 25m",1,$4.58 ,https://www.amazon.eg/-/en/dp/B0CHQ12V9J?ref_=ppx_printOD_title_dt_b_fed_asin_title_1_1
Network Cable Stripper Tool for UTP/STP Cables,1,$0.56 ,https://www.amazon.eg/-/en/dp/B0FCG7SDMM?ref_=ppx_printOD_title_dt_b_fed_asin_title_1_2
164pcs Heat Shrink Tube Kit,1,$2.36 ,https://www.amazon.eg/-/en/dp/B0B2K5XJ7L?ref_=ppx_printOD_title_dt_b_fed_asin_title_1_3
Ring Terminal (4mm) 10 Pieces,1,$1.22 ,https://www.amazon.eg/-/en/dp/B091GMSDRS?ref_=ppx_printOD_title_dt_b_fed_asin_title_1_4
Female Blade Crimp Terminal Insulated (6.3mm) 5pcs,1,$0.87 ,https://www.amazon.eg/-/en/dp/B0DSG9QWHG?ref_=ppx_printOD_title_dt_b_fed_asin_title_1_5
Zip Ties 20 CM Cable Tie (100 Pcs),1,$0.66 ,https://www.amazon.eg/-/en/dp/B07V24RWDQ?ref_=ppx_printOD_title_dt_b_fed_asin_title_1_6
Total Tools Plastic Tool Box (17in-Tpbx0171),1,$8.12 ,https://www.amazon.eg/-/en/dp/B09SGHNJT4?ref_=ppx_printOD_title_dt_b_fed_asin_title_1_7
Soldering Flux Paste,1,$0.74 ,https://www.amazon.eg/-/en/dp/B09GNY7P54?ref_=ppx_printOD_title_dt_b_fed_asin_title_1_8
Solder Wire 1.0mm 40/60 with Flux Core,1,$2.03 ,https://www.amazon.eg/-/en/dp/B0GHJTWX2Z?ref_=ppx_printOD_title_dt_b_fed_asin_title_1_9
Male Crimp Cable Terminals Wire Lugs (20 Pieces),1,$1.53 ,https://www.amazon.eg/-/en/dp/B0DYPHFT1R?ref_=ppx_printOD_title_dt_b_fed_asin_title_1_10
TFVIRA Aluminum Foil Tape,1,$1.84 ,https://www.amazon.eg/-/en/dp/B091BW97TV?ref_=ppx_printOD_title_dt_b_fed_asin_title_1_11
TOTAL Cutter Tools TMT511826,1,$1.64 ,https://www.amazon.eg/-/en/dp/B0922TVXX3?ref_=ppx_printOD_title_dt_b_fed_asin_title_1_12
SMART ZOOM Battery - UPS DC 12V-7Ah,1,$19.11 ,https://www.amazon.eg/-/en/dp/B0CCLJNP8D?ref_=ppx_printOD_title_dt_b_fed_asin_title_0_0
"Mini Blade Fuse Kit Automotive (10 Amp, 10 Pieces)",1,$2.07 ,https://www.amazon.eg/-/en/dp/B0CCLJNP8D?ref_=ppx_printOD_title_dt_b_fed_asin_title_0_0
Heat-Resistant Adhesive Tape 6mm (Kapton Tape),1,$1.91 ,https://www.amazon.eg/-/en/dp/B0F2VPMDZQ?ref_=ppx_printOD_title_dt_b_fed_asin_title_0_0
iLock Electrical Tape - 10 Meters - Black,1,$0.48 ,https://www.amazon.eg/-/en/dp/B09VL7CM28?ref_=ppx_printOD_title_dt_b_fed_asin_title_0_1
DT9205A Digital Multimeter Voltmeter Ammeter,1,$7.04 ,https://www.amazon.eg/-/en/dp/B08YNCV5B1?ref_=ppx_printOD_title_dt_b_fed_asin_title_0_2
Jadever JDMT4310 ABS Steel Measuring Tape (3M x 16mm),1,$0.77 ,https://www.amazon.eg/-/en/dp/B0DPQR1RT7?ref_=ppx_printOD_title_dt_b_fed_asin_title_0_3
30g Grey Thermal Grease Paste Compound Silicone,1,$0.64 ,https://www.amazon.eg/-/en/dp/B087QRN41Y?ref_=ppx_printOD_title_dt_b_fed_asin_title_0_4
A65061-003 Cooling Computer Fan and Heatsink 12VDC,2,$5.46 ,https://www.amazon.eg/-/en/dp/B0FPD2F2V1?ref_=ppx_printOD_title_dt_b_fed_asin_title_0_5
A65061-003 Cooling Computer Fan and Heatsink 12VDC,1,$3.27 ,https://www.amazon.eg/-/en/dp/B0D31QQF9B?ref_=ppx_printOD_title_dt_b_fed_asin_title_0_6
INGCO Electric Soldering Iron 70W (SI01606),1,$5.12 ,https://www.amazon.eg/-/en/dp/B0G8M3CL3N?ref_=ppx_printOD_title_dt_b_fed_asin_title_0_7
"Round Magnets (17 mm Diameter, 12 Pieces)",1,$1.91 ,https://www.amazon.eg/-/en/dp/B0GSPKLK6X?ref_=ppx_printOD_title_dt_b_fed_asin_title_0_8
"Inline Fuse Holder for ATC/ATO Blade (10AWG, Waterproof)",1,$3.38 ,https://www.amazon.eg/-/en/dp/B0H1SBFDZS?ref_=ppx_printOD_title_dt_b_fed_asin_title_0_9
HC-SR04 Ultrasonic Module Distance Sensor,8,$10.63 ,https://www.amazon.eg/-/en/dp/B091FS9YR9?ref_=ppx_printOD_title_dt_b_fed_asin_title_0_0
Gear Geared Motor Dual Straight Shaft,1,$3.67 ,https://www.amazon.eg/-/en/dp/B091FT4H11?ref_=ppx_printOD_title_dt_b_fed_asin_title_0_0
Dual H Bridge DC Stepper Motor Controller (L298N),2,$3.97 ,https://www.amazon.eg/-/en/dp/B07NDYWN26?ref_=ppx_printOD_title_dt_b_fed_asin_title_0_1
Relay Module 24V (1 Channel) Active Low Level Trigger,1,$1.66 ,https://www.amazon.eg/-/en/dp/B0DY53Q7VC?ref_=ppx_printOD_title_dt_b_fed_asin_title_0_2
TT Motor Plastic Tire Tyres Wheel DC 3-6V,1,$4.25 ,https://www.amazon.eg/-/en/dp/B099Z85573?ref_=ppx_printOD_title_dt_b_fed_asin_title_0_3
Ivy Grip Tape Double Face Nano Adhesive (3M),1,$0.84 ,https://www.amazon.eg/-/en/dp/B091J4DSZ8?ref_=ppx_printOD_title_dt_b_fed_asin_title_0_4
TEC1-12706 Thermoelectric Cooler Peltier 12V,1,$3.27 ,https://www.amazon.eg/-/en/dp/B091D1VTGZ?ref_=ppx_printOD_title_dt_b_fed_asin_title_0_5
TB1512-12 Pin Fixed Barrier Terminal Block (15A-600V),4,$7.73 ,https://www.amazon.eg/-/en/dp/B0H6JGZLQC?ref_=ppx_printOD_title_dt_b_fed_asin_title_0_0
INGCO 7 Inch Folding Pruning Saw SK5 Steel,1,$3.86 ,https://www.amazon.eg/dp/B0GS4SJT35?ref_=ppx_printOD_title_mob_ap_fed_asin_title_0_0
Caster Wheel,1,$1.73 ,https://www.amazon.eg/gp/aag/main?ie=UTF8&seller=A1G5VPUVPXBMQ6
,,,
,,173.23 (In total and after conversion from egp and adding shipping),
